#1
Nome: Problema A
((2 20 44 NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL 3 30 NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL 22 NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL))
Objetivo: 70

#2
Nome: Problema B
((2 NIL 4 NIL 6 NIL 8 NIL 10 NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL 3 NIL 5 NIL 7 NIL 9 NIL 11)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL))
Objetivo: 60

#3
Nome: Problema C
((1 12 3 23 NIL 88 NIL NIL NIL NIL)
(21 45 43 NIL NIL NIL NIL NIL NIL NIL)
(NIL 56 NIL 78 NIL NIL NIL NIL NIL NIL)
(89 NIL 99 54 NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL))
Objetivo: 270

#4
Nome: Problema D
((98 97 96 95 94 93 92 91 90 89)
(1 2 3 4 5 55 6 7 8 9)
(NIL 66 NIL NIL NIL NIL NIL NIL NIL 11)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL 22 NIL NIL NIL NIL NIL 33 NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL 88 NIL NIL NIL 44 NIL NIL)
(NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL 77 NIL NIL NIL NIL NIL)
(NIL NIL NIL NIL NIL NIL 99 NIL NIL NIL))
Objetivo: 600

#5
Nome: Problema E
((NIL 5 NIL NIL NIL 15 NIL NIL NIL 25)
(NIL NIL NIL 6 NIL NIL NIL 16 NIL NIL)
(NIL 4 NIL NIL NIL 14 NIL NIL NIL 24)
(NIL NIL NIL 7 NIL NIL NIL 17 NIL NIL)
(NIL 3 NIL NIL NIL 13 NIL NIL NIL 23)
(NIL NIL NIL 8 NIL NIL NIL 18 NIL NIL)
(NIL 2 NIL NIL NIL 12 NIL NIL NIL 22)
(NIL NIL NIL 9 NIL NIL NIL 19 NIL NIL)
(NIL 1 NIL NIL NIL 11 NIL NIL NIL 21)
(NIL NIL NIL 10 NIL NIL NIL 20 NIL NIL))
Objetivo: 300

#6
Nome: Problema F
((88 16 65 55 37 75 54 25 35 12)
(93 6 44 36 29 8 32 94 17 78)
(91 10 95 2 90 41 33 50 23 14)
(47 70 77 52 61 64 11 79 46 1)
(59 51 98 7 57 74 86 43 27 31)
(60 89 30 63 39 13 71 84 92 48)
(40 42 68 5 99 38 34 3 97 76)
(45 73 80 62 67 58 22 82 81 85)
(24 53 66 0 28 49 87 26 19 15)
(96 20 4 18 72 21 83 56 69 9))
Objetivo: 2000
